title,artist,top_genre,year,bpm,nrgy,dnce,db,live,val,dur,acous,spch,pop,duration_min,pca_1,pca_2,cluster
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,3.6166666666666663,1.3676383466557422,1.3668873824268293,0
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,4.383333333333334,1.1966748505563787,-1.000118103759067,3
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,3.333333333333333,2.1060876584876587,0.19503052136477686,0
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,4.916666666666667,1.3047956624715533,-0.025455633094630937,0
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,3.683333333333333,0.5124193996574394,0.4956784394991981,0
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,3.566666666666667,1.0007051141172434,1.2092217551817799,0
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,3.3833333333333333,1.7817886160718013,1.2588847751506693,0
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,3.75,-0.3984151055613414,-0.555342390110896,2
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,3.6,-4.21264850067354,1.2199311046343513,1
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,3.9166666666666665,0.792830124677195,0.9489601815031706,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,3.9166666666666665,0.8097356359662901,-0.04403151614101094,0
Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,3.8333333333333335,-0.07314313397042328,-0.10168316302011754,0
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73,3.55,1.3899485569653143,-1.1418490847572307,3
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,3.683333333333333,1.2581209022324051,1.1024535159998443,0
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,3.6166666666666663,0.40272240413005367,-1.7237149414728226,3
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,4.483333333333333,-0.34412905173038855,-0.6209993597209643,2
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,3.3666666666666667,1.0887208339151777,1.3061788330880593,0
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,5.133333333333334,-0.14150764749248773,-1.8081179808998937,3
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,4.566666666666666,-0.3922588981705719,-0.9706265438119418,2
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,3.1166666666666667,1.4272795256233923,1.5004286410982604,0
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,4.733333333333333,-0.4970357247518092,-0.6592885345532751,2
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,3.783333333333333,-0.2773089957640341,-1.4634825282720434,2
Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66,3.583333333333333,0.9090447883258133,0.9073983809667794,0
Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65,3.6,1.2926431684417805,0.44701006768790696,0
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65,3.966666666666667,0.9482912280729259,-1.4398300330960345,3
Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65,3.533333333333333,0.8618565777531386,-1.5003716680778292,3
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64,3.3833333333333333,1.6560932459253914,0.31685871368714225,0
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63,3.85,1.9757113386256369,-0.27819813133531446,0
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63,3.8,0.8863966334373565,0.26014394674832997,0
California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62,3.9166666666666665,0.8402981622921327,-0.05841093792577647,0
3,Britney Spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62,3.55,1.8246454849707034,0.22322950915906928,0
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62,3.2,2.325786564431645,-0.6955486990005129,3
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62,2.8666666666666667,2.0137166111867693,-0.5599750524142774,3
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62,4.3,-1.329120345643273,-1.430994357391164,3
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62,4.15,-0.01291952244071848,-0.8238813557413017,2
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61,3.2666666666666666,1.0634258495588371,1.1582039755055706,0
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61,4.4,-4.172892135892472,-1.6560804322455718,1
If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59,3.8,2.031962740729594,-1.333183213752491,3
Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59,4.483333333333333,1.4975700824082259,-1.405351594615058,3
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58,4.216666666666667,-0.2995770638990337,-1.8556807483275592,2
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58,3.083333333333333,0.6986774670164174,-1.1503408602411336,3
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57,4.55,-2.280503337573731,0.22761507993020275,2
Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57,4.183333333333334,-0.2944647794877315,-4.9408341233531905,3
Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56,3.216666666666667,1.9149330426207642,1.0995872604428678,0
You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56,4.283333333333333,-4.909841412286662,0.05283944047755065,1
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55,3.1,1.5566850131804144,-0.886434254296258,3
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18,57,220,6,7,52,3.6666666666666665,1.3787056919045126,-0.281675731428025,0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52,3.683333333333333,1.6376958447379217,-0.36058948043509736,0
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49,5.483333333333333,0.01059079540394842,-3.194490806621866,3
Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33,3.1,1.4305889238279954,-0.16943364566626679,0
Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0,3.183333333333333,1.843567029665442,-1.5677067870170132,0
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81,4.75,-3.3662067998346012,-0.6560760704818884,1
Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80,4.75,-4.550520495007834,0.6166034516412356,1
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79,4.2,1.4034574707083083,-1.1793563622668928,3
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76,3.8,0.31369649611746747,1.219136631588328,0
Run the World (Girls),BeyoncÃ©,dance pop,2011,127,90,73,-4,37,76,236,0,14,76,3.933333333333333,2.1160208453556826,-0.8017403035304764,3
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76,3.35,1.4545614884295415,0.077157586393088,0
Love On Top,BeyoncÃ©,dance pop,2011,94,75,65,-5,60,65,267,8,9,76,4.45,0.662324931146706,-1.2061170112666897,3
Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75,3.716666666666667,-1.391211375193375,0.8621078009667049,2
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75,3.333333333333333,1.2846384084011802,0.9380165265520259,0
What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74,3.683333333333333,1.9908140001089059,-0.40489447918780846,0
Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73,4.333333333333333,0.6036578665986329,-1.6147705844759392,3
Monster,Kanye West,chicago rap,2011,125,69,63,-6,67,10,379,0,20,73,6.316666666666666,-1.2342561584203917,-4.090564963257137,3
Best Thing I Never Had,BeyoncÃ©,dance pop,2011,99,65,55,-4,9,30,254,14,3,73,4.233333333333333,-0.7842631369194257,0.13075188092274767,2
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,72,4.366666666666666,0.588702342237538,-1.0445100615634397,3
We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72,3.4166666666666665,1.274685959932094,0.8294421672824758,0
Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72,3.716666666666667,1.6192665151335575,-1.6279188722516995,3
Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13,65,253,8,5,72,4.216666666666667,-0.6913135920024649,0.6977496720707385,2
Just CanÂt Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71,3.65,-1.752405295442615,0.5153799290906517,2
On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69,4.75,0.244517831863747,-0.048986630509352376,0
What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69,4.383333333333334,0.5859539684518549,0.38923477885002994,0
Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9,70,242,0,4,69,4.033333333333333,1.8152418188113617,0.08493405003141076,0
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,68,3.466666666666667,-0.3520817967780815,0.20329701430491973,2
Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19,80,199,10,32,67,3.316666666666667,2.0726941716628144,-0.6848284409898565,3
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11,36,321,0,4,67,5.35,-0.7918642075536307,-1.2669560233294483,2
E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66,3.8333333333333335,1.5890796653377668,-1.809006020338912,3
Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20,45,238,2,7,65,3.966666666666667,0.034881955971303,-0.3943887058048596,2
I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,33,79,210,0,4,64,3.5,0.22298630419136226,0.2348424429129827,0
Blow,Kesha,dance pop,2011,120,73,75,-4,7,81,220,0,4,64,3.6666666666666665,1.4684278718662014,0.9364533992991617,0
You And I,Lady Gaga,dance pop,2011,127,70,52,-5,9,52,307,9,5,64,5.116666666666666,-0.6843837899109204,-1.0750795493850054,2
Judas,Lady Gaga,dance pop,2011,131,93,66,-4,27,53,249,0,7,63,4.15,1.389087208361446,-1.231726542044348,3
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,12,32,232,3,5,63,3.8666666666666663,0.7289893081801576,-0.5786394111235514,0
Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63,3.283333333333333,1.7315022441906815,0.4237760858991929,0
We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61,3.583333333333333,1.1639067884213656,0.32787515891958735,0
Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61,4.416666666666667,0.8591847276570356,-2.2817589286279056,3
1+1,BeyoncÃ©,dance pop,2011,63,38,30,-7,7,26,274,38,3,60,4.566666666666666,-3.834949604549629,0.0889933792955047,1
Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59,3.816666666666667,0.20947668789271126,-0.7541791684705381,2
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59,3.333333333333333,1.0491552110269273,0.495548815240813,0
Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58,3.716666666666667,1.4872216225391932,-0.3426126346113018,3
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58,4.366666666666666,1.271797537240204,-0.6367905163048868,0
S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54,4.283333333333333,1.9809134418398724,0.4231838519391497,0
Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50,4.116666666666666,-4.3640542079365074,0.006591634285075665,1
Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,11,19,255,91,3,46,4.25,-5.034351330430801,-0.8269519495675789,1
Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38,3.35,0.7539863446177434,-1.4168723142618742,3
Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38,3.466666666666667,-0.0836469528577471,-0.2911775765082828,2
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31,3.35,1.989891277291017,-1.16057865263376,3
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28,4.65,-0.21822725410970759,-3.7264249204678848,3
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27,3.85,1.7275149861071122,-2.7049889703119936,3
Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25,3.8,0.6625352369124905,-0.8588162086095326,0
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7,3.783333333333333,-0.1712248321539355,-1.2948660526622937,3
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80,4.083333333333333,0.143596734657422,-0.5368444727163497,2
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79,3.883333333333333,1.504273931370715,0.05995944419354608,0
Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79,4.65,-2.0858099214161943,-0.878017072480784,2
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79,3.85,0.7793453281304269,0.34727708005274593,0
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78,3.333333333333333,2.446490203561187,1.141345495540646,0
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77,3.6666666666666665,-0.8531985556744679,2.025830206210298,2
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76,3.216666666666667,0.1460394585453337,1.6848320526268474,0
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76,3.1333333333333333,1.8163137386790016,2.1775853436650348,0
Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76,4.033333333333333,0.19839355164174466,0.27934087006807995,2
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75,3.216666666666667,0.5381213742329473,1.3584883398815442,0
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74,3.7,1.3758583327679894,-0.02301578206116888,0
Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74,4.133333333333334,-0.5508646416039201,0.878972809503144,2
Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73,3.5166666666666666,1.8130675281055177,0.36968132211628496,0
One More Night,Maroon 5,pop,2012,93,82,72,-3,8,62,220,6,3,73,3.6666666666666665,1.402238537560195,1.1505994199502565,0
Good Time,Owl City,pop,2012,126,87,56,-4,37,68,206,2,14,73,3.433333333333333,1.620530812479625,-1.1717708241690796,3
Glad You Came,The Wanted,boy band,2012,127,85,72,-4,11,45,198,3,6,72,3.3,1.2347310077405038,0.38824995994093797,0
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,72,3.8,0.6569974967579034,-0.08217833513844053,0
International Love,Pitbull,dance pop,2012,120,86,67,-3,34,65,227,1,5,72,3.783333333333333,1.8182692359199106,-0.5542647542535264,0
Some Nights,fun.,baroque pop,2012,108,74,67,-7,9,39,277,2,5,72,4.616666666666666,-0.7049899654215174,0.086941165403441,2
Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13,33,171,4,5,71,2.85,-0.41445532139930835,1.5185271050565683,2
Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7,77,216,0,4,71,3.6,1.627676656063113,0.45982395959235084,0
Domino,Jessie J,australian pop,2012,127,55,76,-5,4,78,232,1,3,69,3.8666666666666663,0.4730090196127866,1.2942906151211802,0
Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,0,9,68,4.05,0.5706642364361337,-0.5833972246200136,2
Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,39,57,221,7,4,68,3.683333333333333,0.2188115969847579,-1.5852820203659037,3
The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16,88,227,0,4,67,3.783333333333333,1.7523122376715623,0.17442647587166696,0
Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,10,71,237,2,7,66,3.95,1.4392593708354573,0.37462705865922685,0
Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16,64,228,0,10,65,3.8,0.6895122482663671,-0.6062219303139149,0
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,13,78,211,3,4,65,3.5166666666666666,0.9842312747396631,0.589053144918215,0
We Are Young (feat. Janelle MonÃ¡e),fun.,baroque pop,2012,184,64,38,-6,8,74,251,2,8,63,4.183333333333334,-0.3852410318109433,-1.7130290171084357,2
Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,61,3.75,-0.1726751093962986,0.08223561316312143,2
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,38,95,206,1,9,59,3.433333333333333,2.785134369227545,-0.6770017132364966,3
You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,13,86,200,50,4,57,3.333333333333333,0.31002500078663703,0.960394954781278,0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,-3,27,80,211,3,10,54,3.5166666666666666,1.8447424464509834,-0.11257218528690253,0
It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,8,48,258,34,5,38,4.3,-0.8688593461569196,-1.31869486190367,2
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,25,75,256,0,4,0,4.266666666666667,1.7708032467218924,-2.3685706597672453,3
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88,3.8333333333333335,0.8313189895282931,-0.7599769477810451,0
Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,4.116666666666666,0.18293046048999279,-0.1439967966306921,2
Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,81,4.083333333333333,-1.2236277934777944,0.1904684096267332,2
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81,4.05,-1.4302604506026895,1.6741557360199573,2
Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12,63,203,7,6,80,3.3833333333333333,0.7559810971299702,0.32020707863438824,0
Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78,3.733333333333333,0.5315476200679412,-1.7267853232037154,3
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78,3.85,-0.33879200381884217,0.2942832800518561,2
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12,44,213,11,5,78,3.55,0.9422883754616967,-0.008515799946033204,0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,77,4.133333333333334,0.3366340159816263,1.2741340098606737,0
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77,3.683333333333333,-2.2902571826663167,0.771471112348766,1
Impossible,James Arthur,pop,2013,170,70,38,-5,11,30,209,14,9,77,3.4833333333333334,-0.7551886967534963,-1.3816880152332915,2
Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76,4.4,0.7995656992512556,1.3779095053868284,0
